image	image_id	repository_digests	platform
postgres:17.10-bookworm	sha256:ccee7ade152e8a4c12ddf9b797490c20310721b63b10c81bb45213e73def7647	postgres@sha256:ccee7ade152e8a4c12ddf9b797490c20310721b63b10c81bb45213e73def7647	linux/amd64
valkey/valkey:9.1.0-alpine	sha256:453c6b48e808707e7ca8f0e6b36595f1caa7aa9d863ed0dceb676c0ce2ccf190	valkey/valkey@sha256:453c6b48e808707e7ca8f0e6b36595f1caa7aa9d863ed0dceb676c0ce2ccf190	linux/amd64
chrislusf/seaweedfs:4.39_full	sha256:a19a6f1a83238740189dba2afb4aa695cb950b75a03e53bc3baebe7e118fe2d8	chrislusf/seaweedfs@sha256:a19a6f1a83238740189dba2afb4aa695cb950b75a03e53bc3baebe7e118fe2d8	linux/amd64
neo4j:2026.06.0	sha256:c5d6d309c9c36947d2475cdb42cb038b2ae9cab23462e98bf7cc10e298a60133	neo4j@sha256:c5d6d309c9c36947d2475cdb42cb038b2ae9cab23462e98bf7cc10e298a60133	linux/amd64
datariver-next-migrate:latest	sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6	datariver-next-api@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-catalog-export-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-governance-apply-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-local-bootstrap@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-migrate@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-outbox-relay@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-semiconductor-seed@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-storage-init@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-upload-validation-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-upload-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6	linux/amd64
datariver-next-storage-init:latest	sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6	datariver-next-api@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-catalog-export-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-governance-apply-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-local-bootstrap@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-migrate@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-outbox-relay@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-semiconductor-seed@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-storage-init@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-upload-validation-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-upload-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6	linux/amd64
datariver-next-local-bootstrap:latest	sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6	datariver-next-api@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-catalog-export-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-governance-apply-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-local-bootstrap@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-migrate@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-outbox-relay@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-semiconductor-seed@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-storage-init@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-upload-validation-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-upload-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6	linux/amd64
datariver-next-semiconductor-seed:latest	sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6	datariver-next-api@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-catalog-export-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-governance-apply-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-local-bootstrap@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-migrate@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-outbox-relay@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-semiconductor-seed@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-storage-init@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-upload-validation-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-upload-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6	linux/amd64
datariver-next-api:latest	sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6	datariver-next-api@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-catalog-export-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-governance-apply-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-local-bootstrap@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-migrate@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-outbox-relay@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-semiconductor-seed@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-storage-init@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-upload-validation-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-upload-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6	linux/amd64
datariver-next-outbox-relay:latest	sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6	datariver-next-api@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-catalog-export-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-governance-apply-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-local-bootstrap@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-migrate@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-outbox-relay@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-semiconductor-seed@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-storage-init@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-upload-validation-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-upload-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6	linux/amd64
datariver-next-upload-worker:latest	sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6	datariver-next-api@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-catalog-export-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-governance-apply-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-local-bootstrap@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-migrate@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-outbox-relay@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-semiconductor-seed@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-storage-init@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-upload-validation-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-upload-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6	linux/amd64
datariver-next-upload-validation-worker:latest	sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6	datariver-next-api@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-catalog-export-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-governance-apply-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-local-bootstrap@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-migrate@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-outbox-relay@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-semiconductor-seed@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-storage-init@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-upload-validation-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6,datariver-next-upload-worker@sha256:8a0e081f8843e943fbfb29ede8329791ce72d6e9bf30e88a65be2665905a7fd6	linux/amd64
